agency_id,short_name,long_name,title,author,album
Trenord,R1,Bergamo-Brescia,1mm,Perfume,
Trenord,R11,Colico-Chiavenna,ALL THAT I WANT,MR.M,
Trenord,R12,Sondrio-Tirano,Accelerated,Miami Nights 1984,
Trenord,R13,Lecco-Colico-Sondrio,Around The World,Nightcore,
Trenord,R14,Bergamo-Carnate-Milano,Bad boy,Nightcore,
Trenord,R16,Asso-Milano,Beautiful Man,Radiorama,
Trenord,R17,Como-Saronno-Milano,Boom boom boom boom,Vengaboys,
Trenord,R18,Como-Molteno-Lecco,Born Slippy,Underworld,
Trenord,R2,Bergamo-Treviglio,Buckle Up! Sp Counter 0,YuGiOh,
Trenord,R21,Luino-Gallarate-Milano,Buckle Up! Sp Counter 12,YuGiOh,
Trenord,R22,Varese-Saronno-Milano,Can't Stop,Martin Solveig,
Trenord,R23,Domodossola-Arona-Gallarate-Milano,Caramelldansen,Caramella_Girls,
Trenord,R25,Novara-Mortara,Cheri Cheri Lady,Morgenshtern,
Trenord,R27,Novara-Saronno-Milano,Chocolate Disco,Perfume,
Trenord,R28,Malpensa-Saronno-Milano Centrale,Clarity,Nightcore,
Trenord,R3,Brescia-Iseo-Breno,Crazy For Love,Sarah,
Trenord,R31,Mortara-Milano,Crazy Little Love,Nuage,
Trenord,R34,Stradella-Pavia-Milano,Cupid,FIFTY FIFTY,
Trenord,R35,Pavia-Torreberetti-Alessandria,Dajyobanai,Perfume,
Trenord,R36,Pavia-Mortara-Vercelli,Diamond is unbreakable,Yugo Kanno,
Trenord,R37,Pavia-Codogno,Die Young,KeSha,
Trenord,R38,Piacenza-Lodi-Milano,Dream Fighter,Perfume,
Trenord,R39,Codogno-Cremona,Edge,Perfume,
Trenord,R4,Brescia-Treviglio-Milano,Electric Groove,Lazerhawk,
Trenord,R40,Cremona-Piadena-Mantova,Electro Body Night,BLOOD SHOT EYES,
Trenord,R41,Voghera-Piacenza,Electro World,Perfume,
Trenord,R5,Brescia-Cremona,Every Byte You Take,SUSE,
Trenord,R6,Cremona-Treviglio,Everytime we touch,Nightcore,
Trenord,R7,Lecco-Bergamo,Eyes,Youth 83,
Trenord,R8,Brescia-Piadena-Parma,Fainted,Narvent,
Trenord,RE1,Laveno-Varese-Saronno-Milano,Fake It,Perfume,
Trenord,RE11,Mantova-Cremona-Codogno-Milano,Free Bird,Lynyrd Skynyrd,
Trenord,RE13,Alessandria-Pavia-Milano,Gatling Buster,YuGiOh,
Trenord,RE2,Bergamo-Pioltello-Milano,Glitter,Perfume,
Trenord,RE3,Brescia-Iseo-Edolo,Go Stronger,YuGiOh,
Trenord,RE4,Domodossola-Milano,Hard Times,Nightcore,
Trenord,RE5,Porto Ceresio-Varese-Gallarate-Milano,Head First,HOME,
Trenord,RE6,Verona-Brescia-Milano,Highway Battle Royal,YuGiOh,
Trenord,RE7,Como-Saronno-Milano,How Do You Do,Nightcore,
Trenord,RE8,Tirano-Sondrio-Lecco-Milano,I Love It,Icona Pop,
Trenord,RE80,Locarno - Chiasso - Como - Milano,I Still Love U,Perfume,
Trenord,S1,Saronno-Milano Passante-Lodi,I like the way you kiss me,Artemas,
