route_id,agency_id,route_short_name,route_long_name
M1,ATM,M1,Sesto FS - Rho Fieramilano-Bisceglie
M2,ATM,M2,P.za Abbiategrasso-Assago Forum - Gessate-Cologno Nord
M3,ATM,M3,S.Donato - Comasina
M4,ATM,M4,Linate Aeroporto - San Cristoforo
M5,ATM,M5,Bignami - San Siro Stadio
MELA,ATM,MELA,Ospedale S. Raffaele - C.na Gobba M2
T1,ATM,T1,Greco - Certosa FS
T1,ATM,T1,Certosa FS - Greco
T2,ATM,T2,P.za Bausan - P.le Negrelli
T2,ATM,T2,P.le Negrelli - P.za Bausan
T3,ATM,T3,Gratosoglio - Duomo M1 M3
T3,ATM,T3,Duomo M1 M3 - Gratosoglio
T4,ATM,T4,Niguarda (Parco Nord) - Cairoli M1
T4,ATM,T4,Cairoli M1 - Niguarda (Parco Nord)
T5,ATM,T5,Ortica - Ospedale Maggiore
T5,ATM,T5,Ospedale Maggiore - Ortica
T7,ATM,T7,Q.re Adriano - P.le Lagosta
T7,ATM,T7,P.le Lagosta - Q.re Adriano
T9,ATM,T9,P.ta Genova FS M2 - Centrale FS M2 M3
T9,ATM,T9,Centrale FS M2 M3 - P.ta Genova FS M2
T10,ATM,T10,V.le Lunigiana - XXIV Maggio
T10,ATM,T10,XXIV Maggio - V.le Lunigiana
T12,ATM,T12,Certosa FS - V.le Molise
T12,ATM,T12,V.le Molise - Certosa FS
T14,ATM,T14,Cim. Maggiore - Lorenteggio
T14,ATM,T14,Lorenteggio - Cim. Maggiore
T15,ATM,T15,Rozzano Via G. Rossa - Duomo M1 M3
T15,ATM,T15,Duomo M1 M3 - Rozzano Via G. Rossa
T16,ATM,T16,M.te Velino - S.Siro Stadio M5
T16,ATM,T16,S.Siro Stadio M5 - M.te Velino
T19,ATM,T19,Lambrate FS M2 - P.za Castelli
T19,ATM,T19,P.za Castelli - Lambrate FS M2
T24,ATM,T24,Vigentino - P.za Fontana
T24,ATM,T24,P.za Fontana - Vigentino
T27,ATM,T27,P.zza Fontana - V.le Ungheria
T27,ATM,T27,V.le Ungheria - P.zza Fontana
T31,ATM,T31,Cinisello B. - Bicocca M5
T31,ATM,T31,Bicocca M5 - Cinisello B.
T33,ATM,T33,Rimembranze di Lambrate - P.le Lagosta
T33,ATM,T33,P.le Lagosta - Rimembranze di Lambrate
B34,ATM,B34,Via Toffetti - Q.re Fatima
B34,ATM,B34,Q.re Fatima - Via Toffetti
B35,ATM,B35,Molino Dorino M1 - Comasina M3
B35,ATM,B35,Comasina M3 - Molino Dorino M1
B38,ATM,B38,Via Corelli - P.le Susa
B38,ATM,B38,P.le Susa - Via Corelli
B39,ATM,B39,Loreto - Pitteri
B39,ATM,B39,Pitteri - Loreto
B40,ATM,B40,Bonola M1 - Niguarda (Parco Nord)
B40,ATM,B40,Niguarda (Parco Nord) - Bonola M1
B41,ATM,B41,Q.re Bovisasca - Niguarda
B41,ATM,B41,Niguarda - Q.re Bovisasca
B42,ATM,B42,N42 - Q.re Bicocca - Centrale FS M2 M3
B42,ATM,B42,N42 - Centrale FS M2 M3 - Q.re Bicocca
B43,ATM,B43,Piazza Greco - Piazza Firenze
B43,ATM,B43,Piazza Firenze - Piazza Greco
B44,ATM,B44,C.na Gobba M2 - Q.re Turro
B44,ATM,B44,Q.re Turro - C.na Gobba M2
B45,ATM,B45,S.Donato M3 - Lambrate FS M2
B45,ATM,B45,Lambrate FS M2 - S.Donato M3
B46,ATM,B46,Famagosta M2 - Q.re Cantalupa
B46,ATM,B46,Q.re Cantalupa - Famagosta M2
B47,ATM,B47,Bisceglie M1 - Romolo M2
B47,ATM,B47,Romolo M2 - Bisceglie M1
B48,ATM,B48,Ist. Palazzolo - Lotto M1
B48,ATM,B48,Lotto M1 - Ist. Palazzolo
B49,ATM,B49,San Cristoforo M4 - Lotto M1 M5
B49,ATM,B49,Lotto M1 M5 - San Cristoforo M4
B50,ATM,B50,N50 - Lorenteggio - Cairoli M1
B50,ATM,B50,N50 - Cairoli M1 - Lorenteggio
B51,ATM,B51,Cimiano M2 - Zara M3 M5
B51,ATM,B51,Zara M3 M5 - Cimiano M2
B52,ATM,B52,Bruzzano FN - Bicocca Universita'
B52,ATM,B52,Bicocca Universita' - Bruzzano FN
B53,ATM,B53,S.Marelli M1 - Lambrate FS
B53,ATM,B53,Lambrate FS - S.Marelli M1
B54,ATM,B54,N54 - Cascina Gobba M2 - Lambrate FS M2 - Dateo M4
B54,ATM,B54,N54 - Dateo M4 - Lambrate FS M2 - Cascina Gobba M2
B55,ATM,B55,Cimitero Lambrate - Loreto
B55,ATM,B55,Loreto - Cimitero Lambrate
B56,ATM,B56,Q.re Adriano - Loreto
B56,ATM,B56,Loreto - Q.re Adriano
B57,ATM,B57,N57 - Q.to Oggiaro - Cairoli
B57,ATM,B57,N57 - Cairoli - Q.to Oggiaro
B58,ATM,B58,Baggio via Noale - Cadorna FN M1 M2
B58,ATM,B58,Cadorna FN M1 M2 - Baggio via Noale
B59,ATM,B59,Famagosta M2 - P.ta Lodovica
B59,ATM,B59,P.ta Lodovica - Famagosta M2
B60,ATM,B60,Zara M3 M5 - Duomo M1 M3
B60,ATM,B60,Duomo M1 M3 - Zara M3 M5
B61,ATM,B61,L.go Murani - Duomo M1 M3
B61,ATM,B61,Duomo M1 M3 - L.go Murani
B62,ATM,B62,Piazza Sire Raul - P.ta Romana M3
B62,ATM,B62,P.ta Romana M3 - Piazza Sire Raul
B63,ATM,B63,Muggiano - De Angeli M1
B63,ATM,B63,De Angeli M1 - Muggiano
B64,ATM,B64,Lorenteggio - Bonola M1
B64,ATM,B64,Bonola M1 - Lorenteggio
B65,ATM,B65,P.za Abbiategrasso M2 - P.ta Romana M3
B65,ATM,B65,P.ta Romana M3 - P.za Abbiategrasso M2
B67,ATM,B67,Baggio via Scanini - P.le Baracca
B67,ATM,B67,P.le Baracca - Baggio via Scanini
B68,ATM,B68,Bonola M1 - Via Bergognone
B68,ATM,B68,Via Bergognone - Bonola M1
B69,ATM,B69,Molino Dorino M1 - Gallaratese - Piazza Firenze
