route_id,agency_id,route_short_name,route_long_name
1,SETA-MO,1,Villaggio Z - Polo Leonardo - Autostazione - Stazione FS - Modena Est - Marinuzzi 
2,SETA-MO,2,Sant'Anna - S. Cataldo - Autostazione - Largo Garibaldi - S. Damaso - S. Donnino 
3,SETA-MO,3,Portorico - S. Caterina - Montefiorino - Stazione FS - Largo Garibaldi - Mattarella - Vaciglio 
4,SETA-MO,4,Vaciglio Nord - Latina - Largo Garibaldi - Stazione FS - Autostazione - Galilei 
5,SETA-MO,5,"Tre Olmi - D'Avia - Autostazione - ""Rotonda"" - La Torre "
5taxi,SETA-MO,5taxi,Ganaceto - Villanova - Lesignana - Tre Olmi - Stazione FS 
6,SETA-MO,6,Chinnici - Buon Pastore - Risorgimento - V.Veneto - Autostazione 
7,SETA-MO,7,Gottardi - Largo Garibaldi - Autostazione - Stazione FS - Gramsci 
7A,SETA-MO,7A,Gottardi - Largo Garibaldi - P.zza Roma - Stazione FS - Gramsci 
8,SETA-MO,8,"Panni - Largo Garibaldi - Questura - ""Portali"" - Gazzotti "
9,SETA-MO,9,"Marzaglia N. - Cittanova - ""Grandemilia"" - Autostazione - Stazione FS - Gottardi "
10,SETA-MO,10,La Rocca - Albareto - Autostazione - Monte Kosica (Stazione FS) - Cognento 
10taxi,SETA-MO,10taxi,La Rocca - Stazione FS - Cognento 
11N,SETA-MO,11N,Sant'Anna - Stazione FS - P.zza Roma - via Emilia centro - Autostazione 
11S,SETA-MO,11S,11S - Stazione FS - P.zza Roma - via Emilia centro - V. Veneto - Via Giardini - Zodiaco 
12,SETA-MO,12,Polo Leonardo - P.zza Manzoni - Largo Garibaldi - Fanti (Stazione FS) - S. Caterina 
13,SETA-MO,13,Ospedale Baggiovara - Autostazione - Stazione FS - (Sacca) - Sant'Anna - Carceri 
14,SETA-MO,14,Nazioni - Finzi - Stazione FS - Nonantolana 1010 - (Portorico) 
15,SETA-MO,15,Villanova - Ponte Alto - Santi - Autostazione 
81,SETA-MO,81,Navetta Tetrapak - Sant'Anna 
391,SETA-MO,391,Gottardi - Polo Leonardo 
392,SETA-MO,392,Autostazione - Polo Leonardo 
393,SETA-MO,393,Polo Leonardo - Stazione FS 
blu,SETA-MO,blu,Gorizia - Palladio 
gialla,SETA-MO,gialla,Venturelli - Mondine 
rossa,SETA-MO,rossa,Cattania - Pista - Industriale 2 - Ipermercato 
verde,SETA-MO,verde,Lenin - XXV Aprile 
A,SETA-MO,A,Refice - Sassuolo Terminal - Cimitero nuovo 
