route_id,agency_id,route_short_name,route_long_name
01,SETA-RE,01,Quartiere Foscato - Reggio Emilia - Albinea - Botteghe 
01+,SETA-RE,01+,Scandiano - Borzano - Albinea - Puianello 
02,SETA-RE,02,Rubiera - Via Curie - Reggio E. - Via Cardano 
03,SETA-RE,03,Istituti Penitenziari - Stazione FS - Caserma Zucchi - Via Maroncelli 
04,SETA-RE,04,Coviolo Chiesa - Piazza Gioberti - Stazione FS - Via Curie 
05,SETA-RE,05,Mancasale Fiera - Stazione AV - Via Makalle - Stazione FS - Baragalla - Rivalta Peep 
05+,SETA-RE,05+,Rivalta Peep - Pamperduto - Boschi - Puianello - Montecavolo 
06,SETA-RE,06,Tribunale - Caserma Zucchi - Piazza Gioberti - Baragalla - Rivalta Via Oddone 
07,SETA-RE,07,Cavriago - Reggio Emilia - Canali 
08,SETA-RE,08,S. Ilario - Reggio Emilia - Ritiro 
09,SETA-RE,09,Via Ruini - Caserma Zucchi - Stazione FS - Fogliano 
10,SETA-RE,10,Via P. delle Ginestre - Viale Timavo - Via del Chionso Deposito SETA 
11,SETA-RE,11,Via Mascagni - Via Adua - Gavassa 
12,SETA-RE,12,Roncocesi - Via Kennedy - Reggio E. - Massenzatico - Pratofontana 
13,SETA-RE,13,Sesso - Reggio E. - Polo Makalle 
14,SETA-RE,14,Reggio Emilia - Coviolo Chiesa - Rivalta - Rubbianino 
E,SETA-RE,E,Park Volo - Piazza del Monte - Porta S. Pietro - Park Funakoshi 
E1,SETA-RE,E1,Park Funakoshi - Polveriera - Via Roma - Porta S.Pietro - Polveriera - Park Funakoshi 
E2,SETA-RE,E2,Park Volo - Porta S.Stefano - Piazza Gioberti - Via Franchetti - Porta S.Stefano - Park Volo 
G,SETA-RE,G,Park Foro Boario - Piazza Gioberti - Park Le Querce 
H,SETA-RE,H,Park Luxemburg - Ospedale - Stazione FS 
M,SETA-RE,M,Stazione AV - Park P.le Lari (Stadio) - Centro Storico - Stazione FS 
22,SETA-RE,22,Servizio Scolastico Istituto ZANELLI - MOTTI 
23,SETA-RE,23,Servizio Scolastico Istituto - CITTA' DEL TRICOLORE 
24,SETA-RE,24,Servizio Scolastico Istituto - GALVANI - IODI 
30,SETA-RE,30,Scuole Medie Castelnovo Monti 
33,SETA-RE,33,Cimitero - Autostazione - Espansione Sud - Municipio - Cimitero 
34,SETA-RE,34,Bosco - Ca de Caroli - S. Ruffino - Scandiano 
35,SETA-RE,35,Santa Vittoria - Carrobbio - San Giacomo - Guastalla 
37,SETA-RE,37,Castelnovo Monti - Casale - Vologno 
39,SETA-RE,39,Villa Minozzo - Febbio - Roncopianigi - Monte Orsaro 
